Parentgene	Type	Number	Frequency
GCSH	Loss	0	0.0000
GLRX3	Germline	0	0.0000
GLRX3	Somatic	1	0.0015
GLRX3	Loss	0	0.0000
GLRX5	Germline	0	0.0000
GLRX5	Somatic	1	0.0015
GLRX5	Loss	0	0.0000
GLTSCR2	Germline	0	0.0000
GLTSCR2	Somatic	3	0.0045
GLTSCR2	Loss	0	0.0000
GNAS	Germline	0	0.0000
GNAS	Somatic	1	0.0015
GNAS	Loss	0	0.0000
GNB2L1	Germline	0	0.0000
GNB2L1	Somatic	1	0.0015
GNB2L1	Loss	0	0.0000
GNL1	Germline	0	0.0000
GNL1	Somatic	1	0.0015
GNL1	Loss	0	0.0000
GNPAT	Germline	0	0.0000
GNPAT	Somatic	1	0.0015
GNPAT	Loss	0	0.0000
GPX2	Germline	0	0.0000
GPX2	Somatic	1	0.0015
GPX2	Loss	0	0.0000
GSR	Germline	0	0.0000
GSR	Somatic	1	0.0015
GSR	Loss	0	0.0000
GSTO1	Germline	0	0.0000
GSTO1	Somatic	1	0.0015
GSTO1	Loss	0	0.0000
GTF2I	Germline	0	0.0000
GTF2I	Somatic	1	0.0015
GTF2I	Loss	0	0.0000
GUK1	Germline	0	0.0000
GUK1	Somatic	1	0.0015
GUK1	Loss	0	0.0000
H19	Germline	0	0.0000
H19	Somatic	1	0.0015
H19	Loss	0	0.0000
H2AFX	Germline	0	0.0000
H2AFX	Somatic	1	0.0015
H2AFX	Loss	0	0.0000
H3F3B	Germline	0	0.0000
H3F3B	Somatic	1	0.0015
H3F3B	Loss	0	0.0000
HADHA	Germline	0	0.0000
HADHA	Somatic	1	0.0015
HADHA	Loss	0	0.0000
HDGF	Germline	0	0.0000
HDGF	Somatic	2	0.0030
HDGF	Loss	0	0.0000
HEBP2	Germline	0	0.0000
HEBP2	Somatic	1	0.0015
HEBP2	Loss	0	0.0000
HIGD1A	Germline	0	0.0000
HIGD1A	Somatic	1	0.0015
HIGD1A	Loss	0	0.0000
HINT1	Germline	0	0.0000
HINT1	Somatic	1	0.0015
HINT1	Loss	0	0.0000
HK1	Germline	0	0.0000
HK1	Somatic	2	0.0030
HK1	Loss	0	0.0000
HMGCS1	Germline	0	0.0000
HMGCS1	Somatic	1	0.0015
HMGCS1	Loss	0	0.0000
HMGN1	Germline	0	0.0000
HMGN1	Somatic	1	0.0015
HMGN1	Loss	0	0.0000
HMMR	Germline	0	0.0000
HMMR	Somatic	1	0.0015
HMMR	Loss	0	0.0000
HNRNPD	Germline	0	0.0000
HNRNPD	Somatic	1	0.0015
HNRNPD	Loss	0	0.0000
HNRNPL	Germline	0	0.0000
HNRNPL	Somatic	1	0.0015
HNRNPL	Loss	0	0.0000
HNRNPM	Germline	0	0.0000
HNRNPM	Somatic	2	0.0030
HNRNPM	Loss	0	0.0000
HNRNPUL2	Germline	0	0.0000
HNRNPUL2	Somatic	1	0.0015
HNRNPUL2	Loss	0	0.0000
HNRPUL1	Germline	0	0.0000
HNRPUL1	Somatic	1	0.0015
HNRPUL1	Loss	0	0.0000
HP1BP3	Germline	0	0.0000
HP1BP3	Somatic	1	0.0015
HP1BP3	Loss	0	0.0000
HRSP12	Germline	0	0.0000
HRSP12	Somatic	4	0.0060
HRSP12	Loss	0	0.0000
HS6ST2	Germline	0	0.0000
HS6ST2	Somatic	1	0.0015
HS6ST2	Loss	0	0.0000
HSP90AA1	Germline	0	0.0000
HSP90AA1	Somatic	1	0.0015
HSP90AA1	Loss	0	0.0000
HSP90AB3P	Germline	0	0.0000
HSP90AB3P	Somatic	1	0.0015
HSP90AB3P	Loss	0	0.0000
HSP90B1	Germline	0	0.0000
HSP90B1	Somatic	3	0.0045
HSP90B1	Loss	0	0.0000
HSPA8	Germline	0	0.0000
HSPA8	Somatic	1	0.0015
HSPA8	Loss	0	0.0000
HSPE1	Germline	6	0.0045
HSPE1	Somatic	2	0.0030
HSPE1	Loss	0	0.0000
HUWE1	Germline	0	0.0000
HUWE1	Somatic	1	0.0015
HUWE1	Loss	0	0.0000
IFI16	Germline	0	0.0000
IFI16	Somatic	1	0.0015
IFI16	Loss	0	0.0000
IFT80	Germline	0	0.0000
IFT80	Somatic	1	0.0015
IFT80	Loss	0	0.0000
IMPA2	Germline	0	0.0000
IMPA2	Somatic	1	0.0015
IMPA2	Loss	0	0.0000
IPO5	Germline	0	0.0000
IPO5	Somatic	1	0.0015
IPO5	Loss	0	0.0000
IPO7	Germline	0	0.0000
IPO7	Somatic	1	0.0015
IPO7	Loss	0	0.0000
IQGAP1	Germline	0	0.0000
IQGAP1	Somatic	1	0.0015
IQGAP1	Loss	0	0.0000
IRAK4	Germline	0	0.0000
IRAK4	Somatic	1	0.0015
IRAK4	Loss	0	0.0000
ITM2B	Germline	0	0.0000
ITM2B	Somatic	1	0.0015
ITM2B	Loss	0	0.0000
JTB	Germline	0	0.0000
JTB	Somatic	1	0.0015
JTB	Loss	0	0.0000
JUP	Germline	0	0.0000
JUP	Somatic	2	0.0030
JUP	Loss	0	0.0000
KDELR1	Germline	0	0.0000
KDELR1	Somatic	1	0.0015
KDELR1	Loss	0	0.0000
KHSRP	Germline	0	0.0000
KHSRP	Somatic	1	0.0015
KHSRP	Loss	0	0.0000
KIAA0391	Germline	2	0.0015
KIAA0391	Somatic	0	0.0000
KIAA0391	Loss	0	0.0000
KIAA0741	Germline	0	0.0000
KIAA0741	Somatic	1	0.0015
KIAA0741	Loss	0	0.0000
KIAA0885	Germline	0	0.0000
KIAA0885	Somatic	1	0.0015
KIAA0885	Loss	0	0.0000
KIAA1007	Germline	0	0.0000
KIAA1007	Somatic	1	0.0015
KIAA1007	Loss	0	0.0000
KIAA1008	Germline	0	0.0000
KIAA1008	Somatic	1	0.0015
KIAA1008	Loss	0	0.0000
KIAA1217	Germline	0	0.0000
KIAA1217	Somatic	1	0.0015
KIAA1217	Loss	0	0.0000
KIAA1407	Germline	0	0.0000
KIAA1407	Somatic	1	0.0015
KIAA1407	Loss	0	0.0000
KIAA1429	Germline	0	0.0000
KIAA1429	Somatic	1	0.0015
KIAA1429	Loss	0	0.0000
KIF20A	Germline	0	0.0000
KIF20A	Somatic	1	0.0015
KIF20A	Loss	0	0.0000
KIF23	Germline	0	0.0000
KIF23	Somatic	1	0.0015
KIF23	Loss	0	0.0000
KLF8	Germline	0	0.0000
KLF8	Somatic	2	0.0030
KLF8	Loss	0	0.0000
KLHL5	Germline	0	0.0000
